discountingBlockLong.thisRepN,discountingBlockLong.thisTrialN,discountingBlockLong.thisN,discountingBlockLong.thisIndex,blockbegin4.thisRepN,blockbegin4.thisTrialN,blockbegin4.thisN,blockbegin4.thisIndex,blockbegin1.thisRepN,blockbegin1.thisTrialN,blockbegin1.thisN,blockbegin1.thisIndex,blockbegin3.thisRepN,blockbegin3.thisTrialN,blockbegin3.thisN,blockbegin3.thisIndex,blockbegin0.thisRepN,blockbegin0.thisTrialN,blockbegin0.thisN,blockbegin0.thisIndex,blockbegin2.thisRepN,blockbegin2.thisTrialN,blockbegin2.thisN,blockbegin2.thisIndex,choiceLeftLoop.thisRepN,choiceLeftLoop.thisTrialN,choiceLeftLoop.thisN,choiceLeftLoop.thisIndex,choiceRightLoop.thisRepN,choiceRightLoop.thisTrialN,choiceRightLoop.thisN,choiceRightLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Intro_1.started,Intro_1.stopped,intro_1_ending.keys,intro_1_ending.rt,choiceResp.keys,choiceResp.rt,small_reward,Delay,result of chosen,delay of chosen,reward of chosen,total amount,block3.started,block3.stopped,block2.started,block2.stopped,block1.started,block1.stopped,repeatResp.keys,repeatResp.rt,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text_6.started,text_6.stopped,text_4.started,text_4.stopped,text_5.started,text_5.stopped,text_2.started,text_2.stopped,key_resp_3.keys,key_resp_3.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.411227000004146,None,space,8.15188429999398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Mar_22_1622,discounting_block,2021.1.2,59.93500647250319,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,1,3.670553400006611,16,3,You got it!,3,32,32,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Mar_22_1622,discounting_block,2021.1.2,59.93500647250319,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.616914899961557,None,23.616914899961557,None,23.616914899961557,None,space,0.5063507999875583,,,,,,,,,,,,,,,,001,2021_Mar_22_1622,discounting_block,2021.1.2,59.93500647250319,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,2,0.935674200009089,18,3,You got it!,1,18,50,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Mar_22_1622,discounting_block,2021.1.2,59.93500647250319,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.253219600010198,None,27.253219600010198,None,27.253219600010198,None,space,0.3259214999852702,,,,,,,,,,,,,,,,001,2021_Mar_22_1622,discounting_block,2021.1.2,59.93500647250319,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,1,0.41448789997957647,16,3,You got it!,3,32,82,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Mar_22_1622,discounting_block,2021.1.2,59.93500647250319,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.20279369998025,None,32.20279369998025,None,32.20279369998025,None,space,0.832324700022582,,,,,,,,,,,,,,,,001,2021_Mar_22_1622,discounting_block,2021.1.2,59.93500647250319,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,2,0.5447435000096448,18,3,You got it!,1,18,0,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Mar_22_1622,discounting_block,2021.1.2,59.93500647250319,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,35.78077630000189,None,35.78077630000189,None,35.78077630000189,None,space,0.6624055000138469,space,2.633626299968455,36.4975601999904,None,,,,,,,,,,,,001,2021_Mar_22_1622,discounting_block,2021.1.2,59.93500647250319,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Mar_22_1622,discounting_block,2021.1.2,59.93500647250319,
