discountingBlockLong.thisRepN,discountingBlockLong.thisTrialN,discountingBlockLong.thisN,discountingBlockLong.thisIndex,blockbegin4.thisRepN,blockbegin4.thisTrialN,blockbegin4.thisN,blockbegin4.thisIndex,blockbegin1.thisRepN,blockbegin1.thisTrialN,blockbegin1.thisN,blockbegin1.thisIndex,blockbegin3.thisRepN,blockbegin3.thisTrialN,blockbegin3.thisN,blockbegin3.thisIndex,blockbegin0.thisRepN,blockbegin0.thisTrialN,blockbegin0.thisN,blockbegin0.thisIndex,blockbegin2.thisRepN,blockbegin2.thisTrialN,blockbegin2.thisN,blockbegin2.thisIndex,choiceLeftLoop.thisRepN,choiceLeftLoop.thisTrialN,choiceLeftLoop.thisN,choiceLeftLoop.thisIndex,choiceRightLoop.thisRepN,choiceRightLoop.thisTrialN,choiceRightLoop.thisN,choiceRightLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,lan_choose.keys,lan_choose.rt,language_text.started,language_text.stopped,Intro_1.started,Intro_1.stopped,intro_1_ending.keys,intro_1_ending.rt,choiceResp.keys,choiceResp.rt,small_reward,Delay,result of chosen,delay of chosen,reward of chosen,total amount,block3.started,block3.stopped,block2.started,block2.stopped,block1.started,block1.stopped,repeatResp.keys,repeatResp.rt,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text_6.started,text_6.stopped,text_13.started,text_13.stopped,text_14.started,text_14.stopped,text_2.started,text_2.stopped,key_resp_3.keys,key_resp_3.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3.0606199000030756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Mar_22_1723,discounting_block,2021.1.2,59.943808692479365,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.370128200040199,None,9.45196760003455,None,space,1.0187673000036739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Mar_22_1723,discounting_block,2021.1.2,59.943808692479365,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,1,15.71486210002331,16,3,You got it!,3,32,32,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Mar_22_1723,discounting_block,2021.1.2,59.943808692479365,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.43923720001476,None,30.43923720001476,None,30.43923720001476,None,space,7.439487299998291,,,,,,,,,,,,,,,,001,2021_Mar_22_1723,discounting_block,2021.1.2,59.943808692479365,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,2,2.8425712999887764,18,3,You got it!,1,18,50,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Mar_22_1723,discounting_block,2021.1.2,59.943808692479365,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.93072669999674,None,42.93072669999674,None,42.93072669999674,None,space,1.6360864999587648,,,,,,,,,,,,,,,,001,2021_Mar_22_1723,discounting_block,2021.1.2,59.943808692479365,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,2,3.644543300033547,16,3,You got it!,1,16,66,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Mar_22_1723,discounting_block,2021.1.2,59.943808692479365,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.372660399996676,None,50.372660399996676,None,50.372660399996676,None,space,0.8341745999641716,,,,,,,,,,,,,,,,001,2021_Mar_22_1723,discounting_block,2021.1.2,59.943808692479365,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,1,1.182316099992022,14,3,You got it!,3,32,0,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Mar_22_1723,discounting_block,2021.1.2,59.943808692479365,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,56.57927749998635,None,56.57927749998635,None,56.57927749998635,None,space,0.8677179999649525,space,1.8036342999548651,57.499063800030854,None,,,,,,,,,,,,001,2021_Mar_22_1723,discounting_block,2021.1.2,59.943808692479365,
