discountingBlockLong.thisRepN,discountingBlockLong.thisTrialN,discountingBlockLong.thisN,discountingBlockLong.thisIndex,blockbegin4.thisRepN,blockbegin4.thisTrialN,blockbegin4.thisN,blockbegin4.thisIndex,blockbegin1.thisRepN,blockbegin1.thisTrialN,blockbegin1.thisN,blockbegin1.thisIndex,blockbegin3.thisRepN,blockbegin3.thisTrialN,blockbegin3.thisN,blockbegin3.thisIndex,blockbegin0.thisRepN,blockbegin0.thisTrialN,blockbegin0.thisN,blockbegin0.thisIndex,blockbegin2.thisRepN,blockbegin2.thisTrialN,blockbegin2.thisN,blockbegin2.thisIndex,choiceLeftLoop.thisRepN,choiceLeftLoop.thisTrialN,choiceLeftLoop.thisN,choiceLeftLoop.thisIndex,choiceRightLoop.thisRepN,choiceRightLoop.thisTrialN,choiceRightLoop.thisN,choiceRightLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,lan_choose.keys,lan_choose.rt,language_text.started,language_text.stopped,Intro_1.started,Intro_1.stopped,intro_1_ending.keys,intro_1_ending.rt,choiceResp.keys,choiceResp.rt,small_reward,Delay,result of chosen,delay of chosen,reward of chosen,total amount,block3.started,block3.stopped,block2.started,block2.stopped,block1.started,block1.stopped,repeatResp.keys,repeatResp.rt,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text_6.started,text_6.stopped,text_13.started,text_13.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2.1845363000174984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Mar_22_1836,discounting_block,2021.1.2,59.96954744834769,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.367086699989159,None,8.626721999957226,None,space,0.48494659998686984,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Mar_22_1836,discounting_block,2021.1.2,59.96954744834769,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,1,1.8991865999996662,16,3,Вы получили M&Ms!,3,32,32,,,,,,,,,,,,,,,,,,001,2021_Mar_22_1836,discounting_block,2021.1.2,59.96954744834769,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.24053750000894,None,15.24053750000894,None,15.24053750000894,None,space,0.031139899976551533,,,,,,,,,,001,2021_Mar_22_1836,discounting_block,2021.1.2,59.96954744834769,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,1,1.584940100030508,18,3,Вы получили M&Ms!,1,18,50,,,,,,,,,,,,,,,,,,001,2021_Mar_22_1836,discounting_block,2021.1.2,59.96954744834769,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.03490689996397,None,19.03490689996397,None,19.03490689996397,None,space,0.5887400000356138,,,,,,,,,,001,2021_Mar_22_1836,discounting_block,2021.1.2,59.96954744834769,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,2,0.627122700039763,16,3,Вы получили M&Ms!,1,16,66,,,,,,,,,,,,,,,,,,001,2021_Mar_22_1836,discounting_block,2021.1.2,59.96954744834769,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.468775799963623,None,22.468775799963623,None,22.468775799963623,None,space,0.4828939000144601,,,,,,,,,,001,2021_Mar_22_1836,discounting_block,2021.1.2,59.96954744834769,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,1,0.34083290002308786,14,3,Вы получили M&Ms!,1,14,0,,,,,,,,,,,,,,,,,,001,2021_Mar_22_1836,discounting_block,2021.1.2,59.96954744834769,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,25.46240969997598,None,25.46240969997598,None,25.46240969997598,None,space,0.5131279000197537,space,16.530520299973432,26.02117979998002,None,,,,,,001,2021_Mar_22_1836,discounting_block,2021.1.2,59.96954744834769,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Mar_22_1836,discounting_block,2021.1.2,59.96954744834769,
4,0,4,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.58941189997131,None,,,,001,2021_Mar_22_1836,discounting_block,2021.1.2,59.96954744834769,
4,0,4,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.6433899999829,None,,001,2021_Mar_22_1836,discounting_block,2021.1.2,59.96954744834769,
