discountingBlockLong.thisRepN,discountingBlockLong.thisTrialN,discountingBlockLong.thisN,discountingBlockLong.thisIndex,blockbegin4.thisRepN,blockbegin4.thisTrialN,blockbegin4.thisN,blockbegin4.thisIndex,blockbegin1.thisRepN,blockbegin1.thisTrialN,blockbegin1.thisN,blockbegin1.thisIndex,blockbegin3.thisRepN,blockbegin3.thisTrialN,blockbegin3.thisN,blockbegin3.thisIndex,blockbegin0.thisRepN,blockbegin0.thisTrialN,blockbegin0.thisN,blockbegin0.thisIndex,blockbegin2.thisRepN,blockbegin2.thisTrialN,blockbegin2.thisN,blockbegin2.thisIndex,choiceLeftLoop.thisRepN,choiceLeftLoop.thisTrialN,choiceLeftLoop.thisN,choiceLeftLoop.thisIndex,choiceRightLoop.thisRepN,choiceRightLoop.thisTrialN,choiceRightLoop.thisN,choiceRightLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,lan_choose.keys,lan_choose.rt,language_text.started,language_text.stopped,Intro_1.started,Intro_1.stopped,intro_1_ending.keys,intro_1_ending.rt,choiceResp.keys,choiceResp.rt,small_reward,Delay,result of chosen,delay of chosen,reward of chosen,total amount,block3.started,block3.stopped,block2.started,block2.stopped,block1.started,block1.stopped,repeatResp.keys,repeatResp.rt,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1.8339374999632128,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Mar_22_1838,discounting_block,2021.1.2,59.874718133784484,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.50986540003214,None,7.401992500002962,None,space,0.5978064999799244,,,,,,,,,,,,,,,,,,,,,,001,2021_Mar_22_1838,discounting_block,2021.1.2,59.874718133784484,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,2,1.1481757000437938,16,3,Вы получили M&Ms!,1,16,16,,,,,,,,,,,,,,001,2021_Mar_22_1838,discounting_block,2021.1.2,59.874718133784484,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.432383300038055,None,11.432383300038055,None,11.432383300038055,None,space,2.0074032999691553,,,,,,001,2021_Mar_22_1838,discounting_block,2021.1.2,59.874718133784484,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,1,0.7883015999686904,14,3,Вы получили M&Ms!,1,14,30,,,,,,,,,,,,,,001,2021_Mar_22_1838,discounting_block,2021.1.2,59.874718133784484,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.44106769998325,None,16.44106769998325,None,16.44106769998325,None,space,3.0145828999811783,,,,,,001,2021_Mar_22_1838,discounting_block,2021.1.2,59.874718133784484,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,2,0.7672689000028186,12,3,Вы получили M&Ms!,1,12,42,,,,,,,,,,,,,,001,2021_Mar_22_1838,discounting_block,2021.1.2,59.874718133784484,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.401038500014693,None,22.401038500014693,None,22.401038500014693,None,space,0.7993871999788098,,,,,,001,2021_Mar_22_1838,discounting_block,2021.1.2,59.874718133784484,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,1,0.9062720999936573,10,3,Вы получили M&Ms!,1,10,0,,,,,,,,,,,,,,001,2021_Mar_22_1838,discounting_block,2021.1.2,59.874718133784484,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,26.313251700019464,None,26.313251700019464,None,26.313251700019464,None,space,1.6227025999687612,space,1.3195526999770664,27.97629570000572,None,,001,2021_Mar_22_1838,discounting_block,2021.1.2,59.874718133784484,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Mar_22_1838,discounting_block,2021.1.2,59.874718133784484,
