Intro_loop.thisRepN,Intro_loop.thisTrialN,Intro_loop.thisN,Intro_loop.thisIndex,discountingBlockLong.thisRepN,discountingBlockLong.thisTrialN,discountingBlockLong.thisN,discountingBlockLong.thisIndex,blockbegin1.thisRepN,blockbegin1.thisTrialN,blockbegin1.thisN,blockbegin1.thisIndex,blockbegin.thisRepN,blockbegin.thisTrialN,blockbegin.thisN,blockbegin.thisIndex,welcomeImage.started,welcomeImage.stopped,slide_changer.keys,slide_changer.rt,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,,,,,,,,,4.333467243999962,None,space,1.2596543180000026,,001,2021_мар_06_1333,discounting_block,2020.2.10,60.156336211541856,
1,0,1,0,,,,,,,,,,,,,5.636314664999986,None,space,0.591010563999987,,001,2021_мар_06_1333,discounting_block,2020.2.10,60.156336211541856,
2,0,2,0,,,,,,,,,,,,,6.289095089,None,space,1.1209580340000116,,001,2021_мар_06_1333,discounting_block,2020.2.10,60.156336211541856,
3,0,3,0,,,,,,,,,,,,,7.487273813999991,None,space,0.7570628109999689,,001,2021_мар_06_1333,discounting_block,2020.2.10,60.156336211541856,
4,0,4,0,,,,,,,,,,,,,8.307831803999989,None,space,0.5697579760000053,,001,2021_мар_06_1333,discounting_block,2020.2.10,60.156336211541856,
5,0,5,0,,,,,,,,,,,,,8.960135819999948,None,space,0.5847874339999635,,001,2021_мар_06_1333,discounting_block,2020.2.10,60.156336211541856,
6,0,6,0,,,,,,,,,,,,,10.040102925999975,None,space,4.788605759000006,,001,2021_мар_06_1333,discounting_block,2020.2.10,60.156336211541856,
7,0,7,0,,,,,,,,,,,,,17.113477332000002,None,space,0.8164518929999645,,001,2021_мар_06_1333,discounting_block,2020.2.10,60.156336211541856,
,,,,0,0,0,0,0,0,0,0,,,,,,,,,,001,2021_мар_06_1333,discounting_block,2020.2.10,60.156336211541856,
,,,,0,0,0,0,,,,,0,0,0,0,,,,,,001,2021_мар_06_1333,discounting_block,2020.2.10,60.156336211541856,
