discountingBlockLong.thisRepN,discountingBlockLong.thisTrialN,discountingBlockLong.thisN,discountingBlockLong.thisIndex,blockbegin1.thisRepN,blockbegin1.thisTrialN,blockbegin1.thisN,blockbegin1.thisIndex,blockbegin.thisRepN,blockbegin.thisTrialN,blockbegin.thisN,blockbegin.thisIndex,choiceLeftLoop.thisRepN,choiceLeftLoop.thisTrialN,choiceLeftLoop.thisN,choiceLeftLoop.thisIndex,choiceRightLoop.thisRepN,choiceRightLoop.thisTrialN,choiceRightLoop.thisN,choiceRightLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Intro_1.started,Intro_1.stopped,intro_1_ending.keys,intro_1_ending.rt,choiceResp.keys,choiceResp.rt,small_reward,Delay,result of chosen,delay of chosen,reward of chosen,total amount,block3.started,block3.stopped,block2.started,block2.stopped,block1.started,block1.stopped,repeatResp.keys,repeatResp.rt,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,2.957578472999785,None,space,0.4729897100000926,,,,,,,,,,,,,,,,,,,,,,001,2021_мар_06_1358,discounting_block,2020.2.10,59.7545106633978,
0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_мар_06_1358,discounting_block,2020.2.10,59.7545106633978,
0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_мар_06_1358,discounting_block,2020.2.10,59.7545106633978,
0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,,,,,,1,24.678386191999834,16,1,You got it!,1,32,32,,,,,,,,,,,,,,001,2021_мар_06_1358,discounting_block,2020.2.10,59.7545106633978,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.38877579999985,None,32.38877579999985,None,32.38877579999985,None,space,3.7508462890000374,,,,,,001,2021_мар_06_1358,discounting_block,2020.2.10,59.7545106633978,
1,0,1,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,2,4.024906987999884,18,1,You did not get it!,1,32,32,,,,,,,,,,,,,,001,2021_мар_06_1358,discounting_block,2020.2.10,59.7545106633978,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.30724699199982,None,42.30724699199982,None,42.30724699199982,None,space,0.8339160330001505,,,,,,001,2021_мар_06_1358,discounting_block,2020.2.10,59.7545106633978,
2,0,2,0,,,,,,,,,0,0,0,0,,,,,,,,,,,,,1,1.8086262429999351,20,1,You got it!,1,32,64,,,,,,,,,,,,,,001,2021_мар_06_1358,discounting_block,2020.2.10,59.7545106633978,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.10297562399978,None,47.10297562399978,None,47.10297562399978,None,space,1.3231861560000198,,,,,,001,2021_мар_06_1358,discounting_block,2020.2.10,59.7545106633978,
3,0,3,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,2,0.7453168669999286,22,1,You did not get it!,1,32,64,,,,,,,,,,,,,,001,2021_мар_06_1358,discounting_block,2020.2.10,59.7545106633978,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.3092773689998,None,51.3092773689998,None,51.3092773689998,None,space,0.7672790010001336,,,,,,001,2021_мар_06_1358,discounting_block,2020.2.10,59.7545106633978,
4,0,4,0,,,,,,,,,0,0,0,0,,,,,,,,,,,,,1,0.6862587900000108,24,1,You got it!,1,32,96,,,,,,,,,,,,,,001,2021_мар_06_1358,discounting_block,2020.2.10,59.7545106633978,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.92239347099985,None,54.92239347099985,None,54.92239347099985,None,space,0.05545807099997546,,,,,,001,2021_мар_06_1358,discounting_block,2020.2.10,59.7545106633978,
5,0,5,0,,,,,,,,,0,0,0,0,,,,,,,,,,,,,1,1.5649404880000475,26,1,You got it!,1,26,122,,,,,,,,,,,,,,001,2021_мар_06_1358,discounting_block,2020.2.10,59.7545106633978,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.705835135999905,None,58.705835135999905,None,58.705835135999905,None,space,1.9739073369999005,,,,,,001,2021_мар_06_1358,discounting_block,2020.2.10,59.7545106633978,
6,0,6,0,,,,,,,,,0,0,0,0,,,,,,,,,,,,,1,0.45972059699988677,24,1,You did not get it!,1,32,122,,,,,,,,,,,,,,001,2021_мар_06_1358,discounting_block,2020.2.10,59.7545106633978,
6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.27929905099995,None,63.27929905099995,None,63.27929905099995,None,space,0.8511034460000246,,,,,,001,2021_мар_06_1358,discounting_block,2020.2.10,59.7545106633978,
7,0,7,0,,,,,,,,,0,0,0,0,,,,,,,,,,,,,1,0.5597392659999514,26,1,You got it!,1,26,148,,,,,,,,,,,,,,001,2021_мар_06_1358,discounting_block,2020.2.10,59.7545106633978,
7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.85729371399998,None,66.85729371399998,None,66.85729371399998,None,space,1.090589386999909,,,,,,001,2021_мар_06_1358,discounting_block,2020.2.10,59.7545106633978,
8,0,8,0,,,,,,,,,0,0,0,0,,,,,,,,,,,,,1,0.6780967340000643,24,1,You got it!,1,32,180,,,,,,,,,,,,,,001,2021_мар_06_1358,discounting_block,2020.2.10,59.7545106633978,
