discountingBlockLong.thisRepN,discountingBlockLong.thisTrialN,discountingBlockLong.thisN,discountingBlockLong.thisIndex,blockbegin1.thisRepN,blockbegin1.thisTrialN,blockbegin1.thisN,blockbegin1.thisIndex,blockbegin0.thisRepN,blockbegin0.thisTrialN,blockbegin0.thisN,blockbegin0.thisIndex,blockbegin2.thisRepN,blockbegin2.thisTrialN,blockbegin2.thisN,blockbegin2.thisIndex,choiceLeftLoop.thisRepN,choiceLeftLoop.thisTrialN,choiceLeftLoop.thisN,choiceLeftLoop.thisIndex,choiceRightLoop.thisRepN,choiceRightLoop.thisTrialN,choiceRightLoop.thisN,choiceRightLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Intro_1.started,Intro_1.stopped,intro_1_ending.keys,intro_1_ending.rt,text_4.started,text_4.stopped,text_2.started,text_2.stopped,key_resp_3.keys,key_resp_3.rt,choiceResp.keys,choiceResp.rt,small_reward,Delay,result of chosen,delay of chosen,reward of chosen,total amount,block3.started,block3.stopped,block2.started,block2.stopped,block1.started,block1.stopped,repeatResp.keys,repeatResp.rt,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.037241320999783,None,space,0.7230043030003799,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_мар_06_1449,discounting_block,2020.2.10,59.956780634377,
0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,3.8339609380000184,None,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_мар_06_1449,discounting_block,2020.2.10,59.956780634377,
0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_мар_06_1449,discounting_block,2020.2.10,59.956780634377,
0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,7.893855698000152,None,space,1.4511683669998092,,,,,,,,,,,,,,,,,,,,,,001,2021_мар_06_1449,discounting_block,2020.2.10,59.956780634377,
0,0,0,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,1,1.7810510680001244,16,3,You got it!,3,32,32,,,,,,,,,,,,,,001,2021_мар_06_1449,discounting_block,2020.2.10,59.956780634377,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.29534909799986,None,15.29534909799986,None,15.29534909799986,None,space,5.020087257000341,,,,,,001,2021_мар_06_1449,discounting_block,2020.2.10,59.956780634377,
1,0,1,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,1,4.165823756999998,18,3,You got it!,1,18,50,,,,,,,,,,,,,,001,2021_мар_06_1449,discounting_block,2020.2.10,59.956780634377,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.64292845700038,None,26.64292845700038,None,26.64292845700038,None,space,2.54066172200055,,,,,,001,2021_мар_06_1449,discounting_block,2020.2.10,59.956780634377,
2,0,2,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,1,2.3629941150002196,16,3,You got it!,3,32,82,,,,,,,,,,,,,,001,2021_мар_06_1449,discounting_block,2020.2.10,59.956780634377,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.711517189000006,None,35.711517189000006,None,35.711517189000006,None,space,0.9246052359994792,,,,,,001,2021_мар_06_1449,discounting_block,2020.2.10,59.956780634377,
3,0,3,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,1,1.7630981070005873,18,3,You got it!,1,18,0,,,,,,,,,,,,,,001,2021_мар_06_1449,discounting_block,2020.2.10,59.956780634377,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,40.530581257999984,None,40.530581257999984,None,40.530581257999984,None,space,2.207167358999868,space,22.513853260999895,42.76277553700038,None,,001,2021_мар_06_1449,discounting_block,2020.2.10,59.956780634377,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_мар_06_1449,discounting_block,2020.2.10,59.956780634377,
