discountingBlockLong.thisRepN,discountingBlockLong.thisTrialN,discountingBlockLong.thisN,discountingBlockLong.thisIndex,blockbegin1.thisRepN,blockbegin1.thisTrialN,blockbegin1.thisN,blockbegin1.thisIndex,blockbegin0.thisRepN,blockbegin0.thisTrialN,blockbegin0.thisN,blockbegin0.thisIndex,blockbegin2.thisRepN,blockbegin2.thisTrialN,blockbegin2.thisN,blockbegin2.thisIndex,choiceLeftLoop.thisRepN,choiceLeftLoop.thisTrialN,choiceLeftLoop.thisN,choiceLeftLoop.thisIndex,choiceRightLoop.thisRepN,choiceRightLoop.thisTrialN,choiceRightLoop.thisN,choiceRightLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Intro_1.started,Intro_1.stopped,intro_1_ending.keys,intro_1_ending.rt,text_4.started,text_4.stopped,text_2.started,text_2.stopped,key_resp_3.keys,key_resp_3.rt,choiceResp.keys,choiceResp.rt,small_reward,Delay,result of chosen,delay of chosen,reward of chosen,total amount,block3.started,block3.stopped,block2.started,block2.stopped,block1.started,block1.stopped,repeatResp.keys,repeatResp.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.63762668399977,None,space,228.52279552100026,,,,,,,,,,,,,,,,,,,,,,,,001,2021_мар_06_1456,discounting_block,2020.2.10,59.90319499902865,
0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,234.29646408899953,None,,,,,,,,,,,,,,,,,,,,,,001,2021_мар_06_1456,discounting_block,2020.2.10,59.90319499902865,
0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_мар_06_1456,discounting_block,2020.2.10,59.90319499902865,
0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,238.40917005699976,None,space,31.82634873400002,,,,,,,,,,,,,,,,,,001,2021_мар_06_1456,discounting_block,2020.2.10,59.90319499902865,
0,0,0,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,1,8.457822082000348,16,3,You got it!,3,32,32,,,,,,,,,,001,2021_мар_06_1456,discounting_block,2020.2.10,59.90319499902865,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,282.95373024200035,None,282.95373024200035,None,282.95373024200035,None,space,3.2534387430005154,,001,2021_мар_06_1456,discounting_block,2020.2.10,59.90319499902865,
1,0,1,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,1,2.131721240999468,18,3,You got it!,1,18,50,,,,,,,,,,001,2021_мар_06_1456,discounting_block,2020.2.10,59.90319499902865,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,290.6019052390002,None,290.6019052390002,None,290.6019052390002,None,space,3.473595148999266,,001,2021_мар_06_1456,discounting_block,2020.2.10,59.90319499902865,
2,0,2,0,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,2,3.441468602999521,16,3,You got it!,1,16,66,,,,,,,,,,001,2021_мар_06_1456,discounting_block,2020.2.10,59.90319499902865,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,299.80114743800004,None,299.80114743800004,None,299.80114743800004,None,space,1.6931897300000855,,001,2021_мар_06_1456,discounting_block,2020.2.10,59.90319499902865,
3,0,3,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,1,0.8830841830003919,14,3,You got it!,1,14,0,,,,,,,,,,001,2021_мар_06_1456,discounting_block,2020.2.10,59.90319499902865,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,304.62189860499984,None,304.62189860499984,None,304.62189860499984,None,space,1.123593656000594,,,,,,,
