discountingBlockLong.thisRepN,discountingBlockLong.thisTrialN,discountingBlockLong.thisN,discountingBlockLong.thisIndex,blockbegin1.thisRepN,blockbegin1.thisTrialN,blockbegin1.thisN,blockbegin1.thisIndex,blockbegin0.thisRepN,blockbegin0.thisTrialN,blockbegin0.thisN,blockbegin0.thisIndex,blockbegin2.thisRepN,blockbegin2.thisTrialN,blockbegin2.thisN,blockbegin2.thisIndex,choiceLeftLoop.thisRepN,choiceLeftLoop.thisTrialN,choiceLeftLoop.thisN,choiceLeftLoop.thisIndex,choiceRightLoop.thisRepN,choiceRightLoop.thisTrialN,choiceRightLoop.thisN,choiceRightLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Intro_1.started,Intro_1.stopped,intro_1_ending.keys,intro_1_ending.rt,choiceResp.keys,choiceResp.rt,small_reward,Delay,result of chosen,delay of chosen,reward of chosen,total amount,block3.started,block3.stopped,block2.started,block2.stopped,block1.started,block1.stopped,repeatResp.keys,repeatResp.rt,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text_4.started,text_4.stopped,text_2.started,text_2.stopped,key_resp_3.keys,key_resp_3.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.360001913999895,None,space,0.4979023699997924,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_мар_08_1259,discounting_block,2020.2.10,59.798630861203186,
0,0,0,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,1,1.4119771590003438,16,3,You got it!,3,32,32,,,,,,,,,,,,,,,,,,,,001,2021_мар_08_1259,discounting_block,2020.2.10,59.798630861203186,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.438929523999832,None,9.438929523999832,None,9.438929523999832,None,space,0.4205211280000185,,,,,,,,,,,,001,2021_мар_08_1259,discounting_block,2020.2.10,59.798630861203186,
1,0,1,0,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,2,0.8803810179997527,18,3,You did not get it!,3,32,32,,,,,,,,,,,,,,,,,,,,001,2021_мар_08_1259,discounting_block,2020.2.10,59.798630861203186,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.87581351300014,None,14.87581351300014,None,14.87581351300014,None,space,0.5346748879996994,,,,,,,,,,,,001,2021_мар_08_1259,discounting_block,2020.2.10,59.798630861203186,
2,0,2,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,1,0.6648624479998944,20,3,You got it!,3,32,64,,,,,,,,,,,,,,,,,,,,001,2021_мар_08_1259,discounting_block,2020.2.10,59.798630861203186,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.22284994199981,None,20.22284994199981,None,20.22284994199981,None,space,1.4897781140002735,,,,,,,,,,,,001,2021_мар_08_1259,discounting_block,2020.2.10,59.798630861203186,
3,0,3,0,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,2,0.5438753999997061,22,3,You did not get it!,3,32,0,,,,,,,,,,,,,,,,,,,,001,2021_мар_08_1259,discounting_block,2020.2.10,59.798630861203186,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,26.406148778999977,None,26.406148778999977,None,26.406148778999977,None,space,1.1076479829998789,space,4.826517611999861,27.53800817299998,None,,,,,,,,001,2021_мар_08_1259,discounting_block,2020.2.10,59.798630861203186,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_мар_08_1259,discounting_block,2020.2.10,59.798630861203186,
4,0,4,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.43719638499988,None,,,,,,001,2021_мар_08_1259,discounting_block,2020.2.10,59.798630861203186,
4,0,4,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_мар_08_1259,discounting_block,2020.2.10,59.798630861203186,
4,0,4,0,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.49859924900011,None,space,1.7675681489999988,,001,2021_мар_08_1259,discounting_block,2020.2.10,59.798630861203186,
