discountingBlockLong.thisRepN,discountingBlockLong.thisTrialN,discountingBlockLong.thisN,discountingBlockLong.thisIndex,blockbegin1.thisRepN,blockbegin1.thisTrialN,blockbegin1.thisN,blockbegin1.thisIndex,blockbegin0.thisRepN,blockbegin0.thisTrialN,blockbegin0.thisN,blockbegin0.thisIndex,blockbegin2.thisRepN,blockbegin2.thisTrialN,blockbegin2.thisN,blockbegin2.thisIndex,choiceLeftLoop.thisRepN,choiceLeftLoop.thisTrialN,choiceLeftLoop.thisN,choiceLeftLoop.thisIndex,choiceRightLoop.thisRepN,choiceRightLoop.thisTrialN,choiceRightLoop.thisN,choiceRightLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Intro_1.started,Intro_1.stopped,intro_1_ending.keys,intro_1_ending.rt,choiceResp.keys,choiceResp.rt,small_reward,Delay,result of chosen,delay of chosen,reward of chosen,total amount,block3.started,block3.stopped,block2.started,block2.stopped,block1.started,block1.stopped,repeatResp.keys,repeatResp.rt,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text_4.started,text_4.stopped,text_2.started,text_2.stopped,key_resp_3.keys,key_resp_3.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9953678150000087,None,space,0.8852905650001048,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_мар_10_1419,discounting_block,2020.2.10,59.84196932738016,
0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,2,3.3622933290002948,16,3,You got it!,1,16,16,,,,,,,,,,,,,,,,,,,,001,2021_мар_10_1419,discounting_block,2020.2.10,59.84196932738016,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.39408121500037,None,9.39408121500037,None,9.39408121500037,None,space,0.6544372879998264,,,,,,,,,,,,001,2021_мар_10_1419,discounting_block,2020.2.10,59.84196932738016,
1,0,1,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,1,0.5782208269997682,14,3,You got it!,1,14,30,,,,,,,,,,,,,,,,,,,,001,2021_мар_10_1419,discounting_block,2020.2.10,59.84196932738016,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.786902250000367,None,12.786902250000367,None,12.786902250000367,None,space,0.5780201769998712,,,,,,,,,,,,001,2021_мар_10_1419,discounting_block,2020.2.10,59.84196932738016,
2,0,2,0,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,2,0.7263925039997048,12,3,You got it!,1,12,42,,,,,,,,,,,,,,,,,,,,001,2021_мар_10_1419,discounting_block,2020.2.10,59.84196932738016,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.19327970400036,None,16.19327970400036,None,16.19327970400036,None,space,0.6233088389999466,,,,,,,,,,,,001,2021_мар_10_1419,discounting_block,2020.2.10,59.84196932738016,
3,0,3,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,1,0.6958805979998033,10,3,You got it!,1,10,0,,,,,,,,,,,,,,,,,,,,001,2021_мар_10_1419,discounting_block,2020.2.10,59.84196932738016,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,19.660328744000253,None,19.660328744000253,None,19.660328744000253,None,space,0.5905485379998936,space,0.9615302229999543,20.305945282000266,None,,,,,,,,001,2021_мар_10_1419,discounting_block,2020.2.10,59.84196932738016,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_мар_10_1419,discounting_block,2020.2.10,59.84196932738016,
4,0,4,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.338050272000146,None,,,,,,001,2021_мар_10_1419,discounting_block,2020.2.10,59.84196932738016,
4,0,4,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_мар_10_1419,discounting_block,2020.2.10,59.84196932738016,
4,0,4,0,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.383666006000112,None,space,0.9343223820001185,,001,2021_мар_10_1419,discounting_block,2020.2.10,59.84196932738016,
4,0,4,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,1,0.5327357179999126,16,1,You got it!,1,32,32,,,,,,,,,,,,,,,,,,,,001,2021_мар_10_1419,discounting_block,2020.2.10,59.84196932738016,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.9937230190003,None,26.9937230190003,None,26.9937230190003,None,space,0.5752968400001919,,,,,,,,,,,,001,2021_мар_10_1419,discounting_block,2020.2.10,59.84196932738016,
5,0,5,0,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,2,0.3472786550000819,18,1,You got it!,1,32,64,,,,,,,,,,,,,,,,,,,,001,2021_мар_10_1419,discounting_block,2020.2.10,59.84196932738016,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.075806897000348,None,30.075806897000348,None,30.075806897000348,None,space,0.4770081920000848,,,,,,,,,,,,001,2021_мар_10_1419,discounting_block,2020.2.10,59.84196932738016,
