discountingBlockLong.thisRepN,discountingBlockLong.thisTrialN,discountingBlockLong.thisN,discountingBlockLong.thisIndex,blockbegin1.thisRepN,blockbegin1.thisTrialN,blockbegin1.thisN,blockbegin1.thisIndex,blockbegin0.thisRepN,blockbegin0.thisTrialN,blockbegin0.thisN,blockbegin0.thisIndex,blockbegin2.thisRepN,blockbegin2.thisTrialN,blockbegin2.thisN,blockbegin2.thisIndex,choiceLeftLoop.thisRepN,choiceLeftLoop.thisTrialN,choiceLeftLoop.thisN,choiceLeftLoop.thisIndex,choiceRightLoop.thisRepN,choiceRightLoop.thisTrialN,choiceRightLoop.thisN,choiceRightLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Intro_1.started,Intro_1.stopped,intro_1_ending.keys,intro_1_ending.rt,choiceResp.keys,choiceResp.rt,small_reward,Delay,result of chosen,delay of chosen,reward of chosen,total amount,block3.started,block3.stopped,block2.started,block2.stopped,block1.started,block1.stopped,repeatResp.keys,repeatResp.rt,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text_4.started,text_4.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3070173520000026,None,space,0.5647544539997398,,,,,,,,,,,,,,,,,,,,,,,,001,2021_мар_10_1423,discounting_block,2020.2.10,59.850100515535274,
0,0,0,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,1,0.8487253979997149,16,3,You got it!,3,32,32,,,,,,,,,,,,,,,,001,2021_мар_10_1423,discounting_block,2020.2.10,59.850100515535274,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.888318981999873,None,8.888318981999873,None,8.888318981999873,None,space,0.534381607999876,,,,,,,,001,2021_мар_10_1423,discounting_block,2020.2.10,59.850100515535274,
1,0,1,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,1,1.3313673140000901,18,3,You got it!,1,18,50,,,,,,,,,,,,,,,,001,2021_мар_10_1423,discounting_block,2020.2.10,59.850100515535274,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.915660124999704,None,12.915660124999704,None,12.915660124999704,None,space,0.10835224299989932,,,,,,,,001,2021_мар_10_1423,discounting_block,2020.2.10,59.850100515535274,
2,0,2,0,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,2,0.7289397839999765,16,3,You got it!,1,16,66,,,,,,,,,,,,,,,,001,2021_мар_10_1423,discounting_block,2020.2.10,59.850100515535274,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.91508931899989,None,15.91508931899989,None,15.91508931899989,None,space,0.5931644600000254,,,,,,,,001,2021_мар_10_1423,discounting_block,2020.2.10,59.850100515535274,
3,0,3,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,1,0.4452034900000399,14,3,You got it!,1,14,0,,,,,,,,,,,,,,,,001,2021_мар_10_1423,discounting_block,2020.2.10,59.850100515535274,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,19.119971665999856,None,19.119971665999856,None,19.119971665999856,None,space,0.3722463669996614,space,8.229566523999893,19.531495614999585,None,,,,001,2021_мар_10_1423,discounting_block,2020.2.10,59.850100515535274,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_мар_10_1423,discounting_block,2020.2.10,59.850100515535274,
4,0,4,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.82750766199979,None,,001,2021_мар_10_1423,discounting_block,2020.2.10,59.850100515535274,
