discountingBlockLong.thisRepN,discountingBlockLong.thisTrialN,discountingBlockLong.thisN,discountingBlockLong.thisIndex,blockbegin1.thisRepN,blockbegin1.thisTrialN,blockbegin1.thisN,blockbegin1.thisIndex,blockbegin0.thisRepN,blockbegin0.thisTrialN,blockbegin0.thisN,blockbegin0.thisIndex,blockbegin2.thisRepN,blockbegin2.thisTrialN,blockbegin2.thisN,blockbegin2.thisIndex,choiceLeftLoop.thisRepN,choiceLeftLoop.thisTrialN,choiceLeftLoop.thisN,choiceLeftLoop.thisIndex,choiceRightLoop.thisRepN,choiceRightLoop.thisTrialN,choiceRightLoop.thisN,choiceRightLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Intro_1.started,Intro_1.stopped,intro_1_ending.keys,intro_1_ending.rt,choiceResp.keys,choiceResp.rt,small_reward,Delay,result of chosen,delay of chosen,reward of chosen,total amount,block3.started,block3.stopped,block2.started,block2.stopped,block1.started,block1.stopped,repeatResp.keys,repeatResp.rt,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text_4.started,text_4.stopped,text_2.started,text_2.stopped,key_resp_3.keys,key_resp_3.rt,DelayFactor,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.43634806099999,None,space,0.46280811199994787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_мар_10_1433,discounting_block,2020.2.10,59.73995793723336,
0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,2,1.9123162140003842,16,3,You got it!,1,16,16,,,,,,,,,,,,,,,,,,,,,001,2021_мар_10_1433,discounting_block,2020.2.10,59.73995793723336,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.962913912000658,None,10.962913912000658,None,10.962913912000658,None,space,0.45321149999927,,,,,,,,,,,,,001,2021_мар_10_1433,discounting_block,2020.2.10,59.73995793723336,
1,0,1,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,1,0.5476111309999396,14,3,You got it!,1,14,30,,,,,,,,,,,,,,,,,,,,,001,2021_мар_10_1433,discounting_block,2020.2.10,59.73995793723336,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.125141279000673,None,14.125141279000673,None,14.125141279000673,None,space,0.44203584299975773,,,,,,,,,,,,,001,2021_мар_10_1433,discounting_block,2020.2.10,59.73995793723336,
2,0,2,0,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,2,0.597063884999443,12,3,You got it!,1,12,42,,,,,,,,,,,,,,,,,,,,,001,2021_мар_10_1433,discounting_block,2020.2.10,59.73995793723336,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.308193427000333,None,17.308193427000333,None,17.308193427000333,None,space,0.42626893000033306,,,,,,,,,,,,,001,2021_мар_10_1433,discounting_block,2020.2.10,59.73995793723336,
3,0,3,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,1,1.0265680709999288,10,3,You got it!,1,10,0,,,,,,,,,,,,,,,,,,,,,001,2021_мар_10_1433,discounting_block,2020.2.10,59.73995793723336,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,20.928904042000795,None,20.928904042000795,None,20.928904042000795,None,space,0.43962985199959803,space,0.7951985360004983,21.42304033900018,None,,,,,,,,,001,2021_мар_10_1433,discounting_block,2020.2.10,59.73995793723336,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_мар_10_1433,discounting_block,2020.2.10,59.73995793723336,
4,0,4,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.289614217000235,None,,,,,,,001,2021_мар_10_1433,discounting_block,2020.2.10,59.73995793723336,
4,0,4,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_мар_10_1433,discounting_block,2020.2.10,59.73995793723336,
4,0,4,0,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.35192904500036,None,space,0.7672742690001542,,,001,2021_мар_10_1433,discounting_block,2020.2.10,59.73995793723336,
4,0,4,0,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,2,1.1041972849998274,16,1,You got it!,1,16,16,,,,,,,,,,,,,,,,,,,,,001,2021_мар_10_1433,discounting_block,2020.2.10,59.73995793723336,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.37709819400061,None,28.37709819400061,None,28.37709819400061,None,space,4.2448505430002115,,,,,,,,,,,,,001,2021_мар_10_1433,discounting_block,2020.2.10,59.73995793723336,
5,0,5,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,1,1.3946083920000092,14,1,You got it!,1,14,30,,,,,,,,,,,,,,,,,,,,,001,2021_мар_10_1433,discounting_block,2020.2.10,59.73995793723336,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.18010463100018,None,36.18010463100018,None,36.18010463100018,None,space,13.362231467000129,,,,,,,,,,,,,001,2021_мар_10_1433,discounting_block,2020.2.10,59.73995793723336,
6,0,6,0,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,2,3.1299424640001234,12,1,You got it!,1,12,42,,,,,,,,,,,,,,,,,,,,,001,2021_мар_10_1433,discounting_block,2020.2.10,59.73995793723336,
