discountingBlockLong.thisRepN,discountingBlockLong.thisTrialN,discountingBlockLong.thisN,discountingBlockLong.thisIndex,blockbegin1.thisRepN,blockbegin1.thisTrialN,blockbegin1.thisN,blockbegin1.thisIndex,blockbegin.thisRepN,blockbegin.thisTrialN,blockbegin.thisN,blockbegin.thisIndex,choiceLeftLoop.thisRepN,choiceLeftLoop.thisTrialN,choiceLeftLoop.thisN,choiceLeftLoop.thisIndex,choiceRightLoop.thisRepN,choiceRightLoop.thisTrialN,choiceRightLoop.thisN,choiceRightLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,welcomeResp.keys,welcomeResp.rt,choiceResp.keys,choiceResp.rt,small_reward,Delay,result of chosen,delay of chosen,reward of chosen,total amount,block3.started,block3.stopped,block2.started,block2.stopped,block1.started,block1.stopped,repeatResp.keys,repeatResp.rt,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,space,1.121074116003001,,,,,,,,,,,,,,,,,,,,,,001,2021_фев_22_1550,discounting_block,2020.2.10,60.03584199907485,
0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_фев_22_1550,discounting_block,2020.2.10,60.03584199907485,
0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_фев_22_1550,discounting_block,2020.2.10,60.03584199907485,
0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,,,,1,1.7536521639995044,16,1,You got it!,1,32,32,,,,,,,,,,,,,,001,2021_фев_22_1550,discounting_block,2020.2.10,60.03584199907485,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.514891771999828,None,14.514891771999828,None,14.514891771999828,None,space,0.6077741520057316,,,,,,001,2021_фев_22_1550,discounting_block,2020.2.10,60.03584199907485,
1,0,1,0,,,,,,,,,,,,,0,0,0,0,,,,,,,2,1.1317828530009137,18,1,You did not get it!,1,32,32,,,,,,,,,,,,,,001,2021_фев_22_1550,discounting_block,2020.2.10,60.03584199907485,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.52476785500039,None,18.52476785500039,None,18.52476785500039,None,space,1.5319167530033155,,,,,,001,2021_фев_22_1550,discounting_block,2020.2.10,60.03584199907485,
2,0,2,0,,,,,,,,,0,0,0,0,,,,,,,,,,,1,0.9645565059981891,20,1,You got it!,1,32,64,,,,,,,,,,,,,,001,2021_фев_22_1550,discounting_block,2020.2.10,60.03584199907485,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.32206822000444,None,23.32206822000444,None,23.32206822000444,None,space,0.8025781760006794,,,,,,001,2021_фев_22_1550,discounting_block,2020.2.10,60.03584199907485,
3,0,3,0,,,,,,,,,,,,,0,0,0,0,,,,,,,2,0.9112497480018646,22,1,You did not get it!,1,32,64,,,,,,,,,,,,,,001,2021_фев_22_1550,discounting_block,2020.2.10,60.03584199907485,
