discountingBlockLong.thisRepN,discountingBlockLong.thisTrialN,discountingBlockLong.thisN,discountingBlockLong.thisIndex,blockbegin1.thisRepN,blockbegin1.thisTrialN,blockbegin1.thisN,blockbegin1.thisIndex,blockbegin.thisRepN,blockbegin.thisTrialN,blockbegin.thisN,blockbegin.thisIndex,choiceLeftLoop.thisRepN,choiceLeftLoop.thisTrialN,choiceLeftLoop.thisN,choiceLeftLoop.thisIndex,choiceRightLoop.thisRepN,choiceRightLoop.thisTrialN,choiceRightLoop.thisN,choiceRightLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,welcomeResp.keys,welcomeResp.rt,welcome_text_2.started,welcome_text_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,onesecond.started,onesecond.stopped,seven_second.started,seven_second.stopped,choiceResp.keys,choiceResp.rt,small_reward,Delay,result of chosen,delay of chosen,reward of chosen,total amount,block3.started,block3.stopped,block2.started,block2.stopped,block1.started,block1.stopped,repeatResp.keys,repeatResp.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,space,2.1304506180003955,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_фев_25_1203,discounting_block,2020.2.10,60.12829104468949,
,,,,,,,,,,,,,,,,,,,,,,,,,,17.409256044998983,None,space,0.4008913119996578,19.409482584000216,None,,,,,,,,,,,,,,,,,,,,,,001,2021_фев_25_1203,discounting_block,2020.2.10,60.12829104468949,
0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,9.440385097999751,10.44064332400012,10.426979861998916,17.44240763900052,,,,,,,,,,,,,,,,,,001,2021_фев_25_1203,discounting_block,2020.2.10,60.12829104468949,
0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_фев_25_1203,discounting_block,2020.2.10,60.12829104468949,
0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,1,7.091868550998697,16,1,You got it!,1,32,32,,,,,,,,,,001,2021_фев_25_1203,discounting_block,2020.2.10,60.12829104468949,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.175160349999715,None,31.175160349999715,None,31.175160349999715,None,space,4.855791789999785,,001,2021_фев_25_1203,discounting_block,2020.2.10,60.12829104468949,
1,0,1,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,2,3.6502838550004526,18,1,You did not get it!,1,32,32,,,,,,,,,,001,2021_фев_25_1203,discounting_block,2020.2.10,60.12829104468949,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.815268708000076,None,41.815268708000076,None,41.815268708000076,None,space,0.501023561000693,,001,2021_фев_25_1203,discounting_block,2020.2.10,60.12829104468949,
2,0,2,0,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,1,1.6316866249999293,20,1,You got it!,1,32,64,,,,,,,,,,001,2021_фев_25_1203,discounting_block,2020.2.10,60.12829104468949,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.09262808399944,None,46.09262808399944,None,46.09262808399944,None,space,0.3251736570000503,,001,2021_фев_25_1203,discounting_block,2020.2.10,60.12829104468949,
3,0,3,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,2,0.881013502001224,22,1,You did not get it!,1,32,64,,,,,,,,,,001,2021_фев_25_1203,discounting_block,2020.2.10,60.12829104468949,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.43432626200047,None,49.43432626200047,None,49.43432626200047,None,space,0.4675760709997121,,001,2021_фев_25_1203,discounting_block,2020.2.10,60.12829104468949,
4,0,4,0,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,1,0.9606889589995262,24,1,You got it!,1,32,96,,,,,,,,,,001,2021_фев_25_1203,discounting_block,2020.2.10,60.12829104468949,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.01042326099923,None,53.01042326099923,None,53.01042326099923,None,space,0.2929003710014513,,001,2021_фев_25_1203,discounting_block,2020.2.10,60.12829104468949,
5,0,5,0,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,1,1.0636555219989532,26,1,You got it!,1,26,122,,,,,,,,,,001,2021_фев_25_1203,discounting_block,2020.2.10,60.12829104468949,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.511260764000326,None,56.511260764000326,None,56.511260764000326,None,space,0.6755008690015529,,001,2021_фев_25_1203,discounting_block,2020.2.10,60.12829104468949,
6,0,6,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,2,1.1316236130005564,24,1,You got it!,1,24,146,,,,,,,,,,001,2021_фев_25_1203,discounting_block,2020.2.10,60.12829104468949,
6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.46037147700008,None,60.46037147700008,None,60.46037147700008,None,space,1.0782041769998614,,001,2021_фев_25_1203,discounting_block,2020.2.10,60.12829104468949,
7,0,7,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,2,1.6157969500000036,22,1,You got it!,1,32,178,,,,,,,,,,001,2021_фев_25_1203,discounting_block,2020.2.10,60.12829104468949,
7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.29545289199996,None,65.29545289199996,None,65.29545289199996,None,space,0.5105854299999919,,001,2021_фев_25_1203,discounting_block,2020.2.10,60.12829104468949,
8,0,8,0,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,1,1.2945173870011786,24,1,You got it!,1,32,210,,,,,,,,,,001,2021_фев_25_1203,discounting_block,2020.2.10,60.12829104468949,
