Intro_loop.thisRepN,Intro_loop.thisTrialN,Intro_loop.thisN,Intro_loop.thisIndex,welcomeImage.started,welcomeImage.stopped,slide_changer.keys,slide_changer.rt,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,3.7625469060003525,None,space,0.7045076620015607,,001,2021_фев_28_1823,discounting_block,2020.2.10,60.05139642936398,
1,0,1,0,4.507861679998314,None,space,2.02405576199817,,001,2021_фев_28_1823,discounting_block,2020.2.10,60.05139642936398,
2,0,2,0,6.575072648000059,None,q,0.9952486080001108,,001,2021_фев_28_1823,discounting_block,2020.2.10,60.05139642936398,
3,0,3,0,7.614581517998886,None,q,1.2116835230008292,,001,2021_фев_28_1823,discounting_block,2020.2.10,60.05139642936398,
4,0,4,0,8.870013888001267,None,q,0.1572018350016151,,001,2021_фев_28_1823,discounting_block,2020.2.10,60.05139642936398,
5,0,5,0,9.071183741998539,None,q,0.20236299600219354,,001,2021_фев_28_1823,discounting_block,2020.2.10,60.05139642936398,
6,0,6,0,9.316872742001578,None,q,0.19981681200079038,,001,2021_фев_28_1823,discounting_block,2020.2.10,60.05139642936398,
7,0,7,0,9.561982670998987,None,q,0.17467544899773202,,001,2021_фев_28_1823,discounting_block,2020.2.10,60.05139642936398,
8,0,8,0,9.7823293750007,None,q,0.11613552999915555,,001,2021_фев_28_1823,discounting_block,2020.2.10,60.05139642936398,
9,0,9,0,9.942020440001215,None,q,0.16810231899944483,,001,2021_фев_28_1823,discounting_block,2020.2.10,60.05139642936398,
10,0,10,0,10.153788728999643,None,q,0.15795578100005514,,001,2021_фев_28_1823,discounting_block,2020.2.10,60.05139642936398,
