Intro_loop.thisRepN,Intro_loop.thisTrialN,Intro_loop.thisN,Intro_loop.thisIndex,discountingBlockLong.thisRepN,discountingBlockLong.thisTrialN,discountingBlockLong.thisN,discountingBlockLong.thisIndex,blockbegin1.thisRepN,blockbegin1.thisTrialN,blockbegin1.thisN,blockbegin1.thisIndex,blockbegin.thisRepN,blockbegin.thisTrialN,blockbegin.thisN,blockbegin.thisIndex,welcomeImage.started,welcomeImage.stopped,slide_changer.keys,slide_changer.rt,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,,,,,,,,,5.89023005800118,None,space,0.35644937500183005,,001,2021_фев_28_2355,discounting_block,2020.2.10,60.275106798910784,
1,0,1,0,,,,,,,,,,,,,6.3786905860033585,None,space,0.25022598700161325,,001,2021_фев_28_2355,discounting_block,2020.2.10,60.275106798910784,
2,0,2,0,,,,,,,,,,,,,6.738256039003318,None,space,0.2904462699953001,,001,2021_фев_28_2355,discounting_block,2020.2.10,60.275106798910784,
3,0,3,0,,,,,,,,,,,,,7.1392617099991185,None,space,0.40623898199555697,,001,2021_фев_28_2355,discounting_block,2020.2.10,60.275106798910784,
4,0,4,0,,,,,,,,,,,,,7.639423467997403,None,space,2.7907063640013803,,001,2021_фев_28_2355,discounting_block,2020.2.10,60.275106798910784,
5,0,5,0,,,,,,,,,,,,,None,None,None,,,001,2021_фев_28_2355,discounting_block,2020.2.10,60.275106798910784,
6,0,6,0,,,,,,,,,,,,,None,None,None,,,001,2021_фев_28_2355,discounting_block,2020.2.10,60.275106798910784,
7,0,7,0,,,,,,,,,,,,,18.86243339900102,None,space,0.08745481200458016,,001,2021_фев_28_2355,discounting_block,2020.2.10,60.275106798910784,
,,,,0,0,0,0,0,0,0,0,,,,,,,,,,001,2021_фев_28_2355,discounting_block,2020.2.10,60.275106798910784,
,,,,0,0,0,0,,,,,0,0,0,0,,,,,,001,2021_фев_28_2355,discounting_block,2020.2.10,60.275106798910784,
