Intro_loop.thisRepN,Intro_loop.thisTrialN,Intro_loop.thisN,Intro_loop.thisIndex,discountingBlockLong.thisRepN,discountingBlockLong.thisTrialN,discountingBlockLong.thisN,discountingBlockLong.thisIndex,blockbegin1.thisRepN,blockbegin1.thisTrialN,blockbegin1.thisN,blockbegin1.thisIndex,blockbegin.thisRepN,blockbegin.thisTrialN,blockbegin.thisN,blockbegin.thisIndex,choiceLeftLoop.thisRepN,choiceLeftLoop.thisTrialN,choiceLeftLoop.thisN,choiceLeftLoop.thisIndex,welcomeImage.started,welcomeImage.stopped,slide_changer.keys,slide_changer.rt,choiceResp.keys,choiceResp.rt,small_reward,Delay,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,,,,,,,,,,,,,10.762943123001605,None,space,1.094958323003084,,,,,,001,2021_фев_28_2356,discounting_block,2020.2.10,59.99190601059512,
1,0,1,0,,,,,,,,,,,,,,,,,12.018386351002846,None,space,1.1553315670025768,,,,,,001,2021_фев_28_2356,discounting_block,2020.2.10,59.99190601059512,
2,0,2,0,,,,,,,,,,,,,,,,,13.266406686001574,None,space,0.8255925709963776,,,,,,001,2021_фев_28_2356,discounting_block,2020.2.10,59.99190601059512,
3,0,3,0,,,,,,,,,,,,,,,,,14.25575113100058,None,space,1.0187778549952782,,,,,,001,2021_фев_28_2356,discounting_block,2020.2.10,59.99190601059512,
4,0,4,0,,,,,,,,,,,,,,,,,15.373872711999866,None,space,1.483846741997695,,,,,,001,2021_фев_28_2356,discounting_block,2020.2.10,59.99190601059512,
5,0,5,0,,,,,,,,,,,,,,,,,None,None,None,,,,,,,001,2021_фев_28_2356,discounting_block,2020.2.10,59.99190601059512,
6,0,6,0,,,,,,,,,,,,,,,,,None,None,None,,,,,,,001,2021_фев_28_2356,discounting_block,2020.2.10,59.99190601059512,
7,0,7,0,,,,,,,,,,,,,,,,,25.327634081004362,None,space,3.5014545250014635,,,,,,001,2021_фев_28_2356,discounting_block,2020.2.10,59.99190601059512,
,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,001,2021_фев_28_2356,discounting_block,2020.2.10,59.99190601059512,
,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,001,2021_фев_28_2356,discounting_block,2020.2.10,59.99190601059512,
,,,,,,,,,,,,,,,,,,,,,,,,1,6.711570859995845,16,1,,,,,,,
