discountingBlockLong.thisRepN,discountingBlockLong.thisTrialN,discountingBlockLong.thisN,discountingBlockLong.thisIndex,blockbegin1.thisRepN,blockbegin1.thisTrialN,blockbegin1.thisN,blockbegin1.thisIndex,blockbegin.thisRepN,blockbegin.thisTrialN,blockbegin.thisN,blockbegin.thisIndex,choiceLeftLoop.thisRepN,choiceLeftLoop.thisTrialN,choiceLeftLoop.thisN,choiceLeftLoop.thisIndex,choiceRightLoop.thisRepN,choiceRightLoop.thisTrialN,choiceRightLoop.thisN,choiceRightLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,welcomeResp.keys,welcomeResp.rt,choiceResp.keys,choiceResp.rt,small_reward,Delay,result of chosen,delay of chosen,reward of chosen,total amount,repeatResp.keys,repeatResp.rt,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,DelayFactor,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,space,0.5670845209988329,,,,,,,,,,,,,,,,t1,001,2021_фев_19_1144,discounting_block,2020.2.10,59.87525481660652,
0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t1,001,2021_фев_19_1144,discounting_block,2020.2.10,59.87525481660652,
0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t1,001,2021_фев_19_1144,discounting_block,2020.2.10,59.87525481660652,
0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,,,,1,4.962943761000133,16,1,You got it!,1,32,32,,,,,,,,t1,001,2021_фев_19_1144,discounting_block,2020.2.10,59.87525481660652,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.8058783729993593,,,,,,t1,001,2021_фев_19_1144,discounting_block,2020.2.10,59.87525481660652,
1,0,1,0,,,,,,,,,,,,,0,0,0,0,,,,,,,2,1.9346486860013101,18,1,You did not get it!,1,32,32,,,,,,,,t1,001,2021_фев_19_1144,discounting_block,2020.2.10,59.87525481660652,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.034759279998979764,,,,,,t1,001,2021_фев_19_1144,discounting_block,2020.2.10,59.87525481660652,
2,0,2,0,,,,,,,,,0,0,0,0,,,,,,,,,,,1,0.9165560000001278,20,1,You got it!,1,32,64,,,,,,,,t1,001,2021_фев_19_1144,discounting_block,2020.2.10,59.87525481660652,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.7053061429996887,,,,,,t1,001,2021_фев_19_1144,discounting_block,2020.2.10,59.87525481660652,
3,0,3,0,,,,,,,,,,,,,0,0,0,0,,,,,,,2,1.0823355659995286,22,1,You did not get it!,1,32,64,,,,,,,,t1,001,2021_фев_19_1144,discounting_block,2020.2.10,59.87525481660652,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.434348010998292,,,,,,t1,001,2021_фев_19_1144,discounting_block,2020.2.10,59.87525481660652,
4,0,4,0,,,,,,,,,0,0,0,0,,,,,,,,,,,1,1.1127544219998526,24,1,You got it!,1,32,96,,,,,,,,t1,001,2021_фев_19_1144,discounting_block,2020.2.10,59.87525481660652,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.7688047439987713,,,,,,t1,001,2021_фев_19_1144,discounting_block,2020.2.10,59.87525481660652,
5,0,5,0,,,,,,,,,,,,,0,0,0,0,,,,,,,2,10.334529771000234,26,1,You got it!,1,32,128,,,,,,,,t1,001,2021_фев_19_1144,discounting_block,2020.2.10,59.87525481660652,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.5969898590010416,,,,,,t1,001,2021_фев_19_1144,discounting_block,2020.2.10,59.87525481660652,
6,0,6,0,,,,,,,,,0,0,0,0,,,,,,,,,,,1,6.235003204001259,28,1,You did not get it!,1,32,128,,,,,,,,t1,001,2021_фев_19_1144,discounting_block,2020.2.10,59.87525481660652,
6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.6178445080004167,,,,,,t1,001,2021_фев_19_1144,discounting_block,2020.2.10,59.87525481660652,
7,0,7,0,,,,,,,,,,,,,0,0,0,0,,,,,,,2,5.556105597001078,30,1,You got it!,1,32,160,,,,,,,,t1,001,2021_фев_19_1144,discounting_block,2020.2.10,59.87525481660652,
7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.76534352499948,,,,,,t1,001,2021_фев_19_1144,discounting_block,2020.2.10,59.87525481660652,
8,0,8,0,,,,,,,,,0,0,0,0,,,,,,,,,,,1,2.614159426000697,30,1,You got it!,1,32,192,,,,,,,,t1,001,2021_фев_19_1144,discounting_block,2020.2.10,59.87525481660652,
8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.6210139439990598,,,,,,t1,001,2021_фев_19_1144,discounting_block,2020.2.10,59.87525481660652,
9,0,9,0,,,,,,,,,,,,,0,0,0,0,,,,,,,2,1.4712387950003176,30,1,You got it!,1,32,224,,,,,,,,t1,001,2021_фев_19_1144,discounting_block,2020.2.10,59.87525481660652,
9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.5302199699999619,,,,,,t1,001,2021_фев_19_1144,discounting_block,2020.2.10,59.87525481660652,
10,0,10,0,,,,,,,,,0,0,0,0,,,,,,,,,,,1,1.2149312419987837,30,1,You did not get it!,1,32,224,,,,,,,,t1,001,2021_фев_19_1144,discounting_block,2020.2.10,59.87525481660652,
10,0,10,0,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,space,1.9014925899991795,space,2.0015359980006906,82.42865380600051,None,,t1,001,2021_фев_19_1144,discounting_block,2020.2.10,59.87525481660652,
10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t1,001,2021_фев_19_1144,discounting_block,2020.2.10,59.87525481660652,
11,0,11,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t1,001,2021_фев_19_1144,discounting_block,2020.2.10,59.87525481660652,
